"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/20/2021","AQS","290030001","2","0.047","ppm","44","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/21/2021","AQS","290030001","2","0.047","ppm","44","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/22/2021","AQS","290030001","2","0.044","ppm","41","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/23/2021","AQS","290030001","2","0.034","ppm","31","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/24/2021","AQS","290030001","2","0.031","ppm","29","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/25/2021","AQS","290030001","2","0.024","ppm","22","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/26/2021","AQS","290030001","2","0.039","ppm","36","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/27/2021","AQS","290030001","2","0.034","ppm","31","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/28/2021","AQS","290030001","2","0.04","ppm","37","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/29/2021","AQS","290030001","2","0.054","ppm","50","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/30/2021","AQS","290030001","2","0.041","ppm","38","Savannah","17","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"03/31/2021","AirNow","290030001","2","0.043","ppm","40","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/01/2021","AirNow","290030001","2","0.043","ppm","40","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/02/2021","AirNow","290030001","2","0.059","ppm","64","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/03/2021","AirNow","290030001","2","0.06","ppm","67","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/04/2021","AirNow","290030001","2","0.052","ppm","48","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/05/2021","AirNow","290030001","2","0.044","ppm","41","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/06/2021","AirNow","290030001","2","0.043","ppm","40","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/07/2021","AirNow","290030001","2","0.041","ppm","38","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/08/2021","AirNow","290030001","2","0.027","ppm","25","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/09/2021","AirNow","290030001","2","0.042","ppm","39","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/10/2021","AirNow","290030001","2","0.039","ppm","36","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/11/2021","AirNow","290030001","2","0.05","ppm","46","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/12/2021","AirNow","290030001","2","0.041","ppm","38","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/13/2021","AirNow","290030001","2","0.042","ppm","39","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/14/2021","AirNow","290030001","2","0.037","ppm","34","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/15/2021","AirNow","290030001","2","0.033","ppm","31","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/16/2021","AirNow","290030001","2","0.025","ppm","23","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/17/2021","AirNow","290030001","2","0.041","ppm","38","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/18/2021","AirNow","290030001","2","0.045","ppm","42","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/19/2021","AirNow","290030001","2","0.033","ppm","31","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/20/2021","AirNow","290030001","2","0.042","ppm","39","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/21/2021","AirNow","290030001","2","0.041","ppm","38","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/22/2021","AirNow","290030001","2","0.052","ppm","48","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/23/2021","AirNow","290030001","2","0.041","ppm","38","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/24/2021","AirNow","290030001","2","0.039","ppm","36","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/25/2021","AirNow","290030001","2","0.051","ppm","47","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/26/2021","AirNow","290030001","2","0.053","ppm","49","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/27/2021","AirNow","290030001","2","0.044","ppm","41","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/28/2021","AirNow","290030001","2","0.022","ppm","20","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/29/2021","AirNow","290030001","2","0.051","ppm","47","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"04/30/2021","AirNow","290030001","2","0.054","ppm","50","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/01/2021","AirNow","290030001","2","0.054","ppm","50","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/02/2021","AirNow","290030001","2","0.038","ppm","35","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/03/2021","AirNow","290030001","2","0.033","ppm","31","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/04/2021","AirNow","290030001","2","0.045","ppm","42","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/05/2021","AirNow","290030001","2","0.047","ppm","44","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/06/2021","AirNow","290030001","2","0.047","ppm","44","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/07/2021","AirNow","290030001","2","0.044","ppm","41","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/08/2021","AirNow","290030001","2","0.04","ppm","37","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/09/2021","AirNow","290030001","2","0.039","ppm","36","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/10/2021","AirNow","290030001","2","0.045","ppm","42","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/11/2021","AirNow","290030001","2","0.043","ppm","40","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/12/2021","AirNow","290030001","2","0.041","ppm","38","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/13/2021","AirNow","290030001","2","0.048","ppm","44","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/14/2021","AirNow","290030001","2","0.048","ppm","44","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/15/2021","AirNow","290030001","2","0.041","ppm","38","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/16/2021","AirNow","290030001","2","0.032","ppm","30","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/17/2021","AirNow","290030001","2","0.037","ppm","34","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/18/2021","AirNow","290030001","2","0.038","ppm","35","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/19/2021","AirNow","290030001","2","0.039","ppm","36","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/20/2021","AirNow","290030001","2","0.032","ppm","30","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/21/2021","AirNow","290030001","2","0.032","ppm","30","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/22/2021","AirNow","290030001","2","0.032","ppm","30","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/23/2021","AirNow","290030001","2","0.036","ppm","33","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/24/2021","AirNow","290030001","2","0.042","ppm","39","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/25/2021","AirNow","290030001","2","0.034","ppm","31","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/26/2021","AirNow","290030001","2","0.047","ppm","44","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/27/2021","AirNow","290030001","2","0.043","ppm","40","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/28/2021","AirNow","290030001","2","0.031","ppm","29","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/29/2021","AirNow","290030001","2","0.039","ppm","36","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/30/2021","AirNow","290030001","2","0.04","ppm","37","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"05/31/2021","AirNow","290030001","2","0.033","ppm","31","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/01/2021","AirNow","290030001","2","0.041","ppm","38","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/02/2021","AirNow","290030001","2","0.05","ppm","46","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/03/2021","AirNow","290030001","2","0.058","ppm","61","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/04/2021","AirNow","290030001","2","0.056","ppm","54","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/05/2021","AirNow","290030001","2","0.051","ppm","47","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/06/2021","AirNow","290030001","2","0.038","ppm","35","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/07/2021","AirNow","290030001","2","0.052","ppm","48","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/08/2021","AirNow","290030001","2","0.038","ppm","35","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/09/2021","AirNow","290030001","2","0.048","ppm","44","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/10/2021","AirNow","290030001","2","0.054","ppm","50","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/11/2021","AirNow","290030001","2","0.043","ppm","40","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/12/2021","AirNow","290030001","2","0.057","ppm","58","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/13/2021","AirNow","290030001","2","0.06","ppm","67","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/14/2021","AirNow","290030001","2","0.061","ppm","71","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/15/2021","AirNow","290030001","2","0.06","ppm","67","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/16/2021","AirNow","290030001","2","0.067","ppm","90","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/17/2021","AirNow","290030001","2","0.052","ppm","48","Savannah","24","100.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/18/2021","AirNow","290030001","2","0.054","ppm","50","Savannah","18","75.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
"06/19/2021","AirNow","290030001","2","0.056","ppm","54","Savannah","21","88.0000","44201","Ozone","41140","St. Joseph, MO-KS","29","Missouri","003","Andrew","39.9544000009289","-94.849"
